Order_ID,Platform,Order_Date,Customer_Name,State,Category,Product,Quantity,Unit_Price,Sales,Discount_Pct,Rating
ORD100000,Flipkart,2024-08-31,Thomas Hardy,Karnataka,Fashion,Television,3.0,499.0,1497.0,5.0,2.0
ORD100001,Amazon,2024-07-24,Crystal Ingram,Maharashtra,Home,National,1.0,,0.0,15.0,4.0
ORD100002,Flipkart,2025-08-26,Frances Bell,Tamil Nadu,Electronics,Attack,2.0,499.0,998.0,10.0,5.0
ORD100003,Amazon,2024-08-16,Amber Wilson,Maharashtra,Electronics,Talk,7.0,,0.0,,
ORD100004,Amazon,2025-01-06,Daniel Flores,Tamil Nadu,Beauty,Moment,2.0,199.0,398.0,15.0,5.0
ORD100005,Flipkart,2025-03-29,Larry Harris,Telangana,Home,Local,3.0,,0.0,5.0,4.0
ORD100006,Amazon,2024-07-25,Garrett Galvan,Maharashtra,Electronics,Help,2.0,499.0,998.0,0.0,5.0
ORD100007,Amazon,2025-01-30,Danny Gutierrez DVM,Karnataka,Electronics,Keep,4.0,2999.0,11996.0,10.0,3.0
ORD100008,Flipkart,2025-05-10,Jacob Hurley,Karnataka,Grocery,Even,9.0,499.0,4491.0,15.0,2.0
ORD100009,Flipkart,2025-02-14,Julie Wu,,Fashion,Decide,4.0,,0.0,15.0,3.0
ORD100010,Amazon,2024-10-09,Kevin Martinez,,Grocery,Glass,1.0,1499.0,1499.0,5.0,3.0
ORD100011,Amazon,2025-11-25,Angela Boone,Telangana,Beauty,Identify,3.0,2999.0,8997.0,10.0,4.0
ORD100012,Amazon,2024-08-25,Ian Brown,Karnataka,Electronics,Measure,7.0,,0.0,5.0,5.0
ORD100013,Amazon,2025-11-01,Brenda Foster,Tamil Nadu,Home,Fall,9.0,999.0,8991.0,,1.0
ORD100014,Flipkart,2025-05-28,Russell Wagner,Karnataka,electronics,Down,7.0,199.0,1393.0,,3.0
ORD100015,Amazon,2025-05-19,Dana Fisher,Telangana,Grocery,Beautiful,5.0,199.0,,10.0,3.0
ORD100016,Flipkart,2025-05-10,Elizabeth Jimenez,,Home,Almost,5.0,199.0,995.0,5.0,
ORD100017,Flipkart,2024-06-19,Samuel Barrett,Karnataka ,Electronics,Effect,2.0,999.0,1998.0,0.0,3.0
ORD100018,Flipkart,2024-10-13,Cynthia Li,Telangana,Beauty,Money,2.0,199.0,398.0,5.0,5.0
ORD100019,Amazon,2024-11-03,Heather Williams,,Home,Remain,8.0,,0.0,10.0,3.0
ORD100020,Flipkart,2024-07-08,Daniel Wolf,Karnataka ,Home,Week,,1499.0,7495.0,0.0,3.0
ORD100021,Flipkart,2026-02-14,Rebecca Ray,MAHARASHTRA,Electronics,Account,9.0,999.0,8991.0,15.0,2.0
ORD100022,Flipkart,2026-05-25,Timothy Kim,,Fashion,Their,8.0,,0.0,0.0,1.0
ORD100023,Amazon,2026-02-19,Jeffery Reyes,,Beauty,Son,5.0,199.0,995.0,10.0,
ORD100024,Flipkart,2024-07-30,Rachel Ramirez,Telangana,Fashion,Consider,10.0,1499.0,14990.0,10.0,1.0
ORD100025,Amazon,2024-12-26,Brandon Johnson,Maharashtra,Electronics,Safe,5.0,999.0,4995.0,10.0,4.0
